rank,syllable,length,count,example_words
338,sel,3,66,bruselas|grosellas|marsella|seleccion|selecciones|selecta|selecto|selladora
339,ip,2,65,ambipur|antipiojos|filipinos|koipesol|minipack|optipro|polipropileno|tulipas
340,bal,3,65,ball|balla|ballantine|balm|balsamico|balsamo|global|herbal
341,bru,3,65,brugal|brujas|brulee|brummel|bruselas|brush|brut|lambrusco
342,jab,3,65,jabon|jabones|jabonitas|jabonosas|jabonosos
343,ter,3,65,butterfly|cisterna|master|mistery|termico|termosellada|ternera|terrones
344,exp,3,64,expert|explosion|expres|express|expresso|exprimido|exprimidor|porexpam
345,sur,3,64,sur|surf|surprise|surround|surtidas|surtido|surtidos
346,don,3,63,cordon|cordones|don|donacion|donettes|donostiarra|donuts|london
347,par,3,63,par|parfum|paris|parmesana|parmigianno|parmigiano|parodontax|partidas
348,sti,3,63,longlasting|plastica|plasticas|plastico|plasticos|stick|sticks|stixx
349,tan,3,63,castanas|instantanea|lactantes|pestanas|rectangular|reflectante|tan|tanqueray
350,je,2,62,berenjena|embalaje|jefe|jeunesse|maquillaje|masaje|pelaje|tijera
351,cep,3,62,cepas|cepillo|cepillos
352,ral,3,62,cebralin|fibralogy|floral|hidralist|morralla|rallada|rallado
353,sib,3,62,sensibilidad|sensible|sensibles
354,if,2,61,butifarra|california|dosificador|elifexir|matificante|orificio|purificante|violife
355,flu,3,61,fluido|flujo|fluocaril|fluor|fluorada|fluore|fluorescente|fluorescentes
356,los,3,61,bastoncillos|callos|carlos|cuchillos|explosion|ladrillos|los|rollos
357,nec,3,61,neceser|nectar|nectina
358,sit,3,61,bolsitas
359,dep,3,60,depend|depilacion|depilar|depilatorias|deportivas|deportivo|depues|valdepenas
360,pos,3,60,campos|compostables|posay|poseidon|post|postizas|postre|postres
361,tam,3,60,bustamante|tamarindo|tamaron|tamnavulin|tampax|tampon|tampones|tratamiento
362,uen,3,60,hierbabuena|infusuenos|pequena|pequenas|pequeno|pequenos|requena
363,der,3,59,dercos|dermatologico|dermik|dermo|dermopure|kinder|sesderma|wonderful
364,lab,3,59,label|labial|labios
365,red,3,59,red|redecilla|redhot|redondas|redondo|reducidas|reductor|reductora
366,bur,3,58,burbujas|burdeos|burger|burgo|burn|hamburguesa|hamburguesas|zamburinas
367,lig,3,58,ligeras|light
368,pis,3,58,piscina|pist|pistacho|pistachos|pisto|pistola|serpis
369,sas,3,58,bolsas|compresas|fresas|grasas|princesas|salsas
370,tel,3,58,amstel|castell|castellana|castello|coctel|pastel|telescopico|tello
371,ov,2,57,arkovital|giovanna|oval|ovalados|oveja|ovonovo|renovador|romanov
372,set,3,57,rossetto|set|setas
373,ze,2,56,delicatezze|zero
374,cos,3,56,cosecha|cosmetiques|costa|costena|costilla|dercos|discos|roscos
375,hom,3,56,hombre|machoman
376,les,3,56,borrables|bronchales|compostables|cristales|les|sensibles|valles|vallesol
377,sec,3,56,secante|secas|seconds|secos|secret|secreto|secrets
378,em,2,55,alemana|avecrem|embutido|emilia|empanada|emulsion|guatemala|matusalem
379,ey,2,55,buey|deley|eye|eyebrow|eyeliner|eyes|honey|pradorey
380,act,3,55,actilift|actimel|action|activ|activador|activity|activos|galactic
381,sar,3,55,sardina|sardinas|sardinillas|sarialis|sarria|sarta|sarten|sartenes
382,gin,3,54,gin|ginebra|ginger|gingilacer|gingival|ginkgo|ginseng|gintonic
383,veg,3,54,veganas|vegas|vegecampo|vegetal|vegetales|vegetariana|veggie|vegs
384,ast,3,53,asturiana|asturianas|asturiano|breakfast|elastic|elasticas|monastrell
385,cle,3,53,chicle|chicles|clean|clear|cleare|clementinas|clesa
386,gir,3,53,giraldo|girasol|girason
387,ier,3,53,abierta|cubiertas|cubierto|ecolier|ganier|javier|maetierra|recubierto
388,mat,3,53,farmatint|matic|matificante|matin|matizador|matte|mattitude|matusalem
389,pun,3,53,punch|punidox|punta|puntas|puntemino|puntilla|punto|puntos
390,uer,3,53,antequera|antequerano|baquero|boqueron|boquerones|hoguera|recuerdos|valdeguerra
391,ix,2,52,baixas|elixir|elixirdeluxe|felix|freixenet|monix|organix|weetabix
392,ber,3,52,bercamot|berenjena|bergner|berhanyer|berlina|berlinas|berries|berry
393,dis,3,52,discos|discreet|disfruta|disiclin|disney|disop|dispensador|disuelve
394,gen,3,52,barnangen|general|genios|genuino|virgen
395,noc,3,52,nocciolata|nocco|noche|noches|nocilla|nocturslim
396,ple,3,52,complemento|complet|completa|complete|completo|cumpleanos|purple|triple
397,tab,3,52,cantabrico|cartabon|compostables|dentabites|taberseo|tabla|tableta|tabletas
398,eg,2,51,arreglo|diego|friegasuelos|griego|omega|oregano|peregrino|rosegones
399,ecc,3,51,coleccion|desinfeccion|imperfecciones|seleccion|selecciones
400,mix,3,51,mix|mix5|mixer|mixta|mixtas|mixto
